filename,path,file type,size (bytes)
099291.csv,/pub10/ushcn_snow/R_input/GA,csv,2197152
HEADER,/pub10/ushcn_snow/R_input/,no extension,579
130112.csv,/pub10/ushcn_snow/R_input/IA,csv,2795900
130133.csv,/pub10/ushcn_snow/R_input/IA,csv,3144816
130600.csv,/pub10/ushcn_snow/R_input/IA,csv,2914712
131402.csv,/pub10/ushcn_snow/R_input/IA,csv,1926960
131533.csv,/pub10/ushcn_snow/R_input/IA,csv,3093510
131635.csv,/pub10/ushcn_snow/R_input/IA,csv,2813544
132724.csv,/pub10/ushcn_snow/R_input/IA,csv,2922689
132789.csv,/pub10/ushcn_snow/R_input/IA,csv,2940607
132864.csv,/pub10/ushcn_snow/R_input/IA,csv,2945679
132977.csv,/pub10/ushcn_snow/R_input/IA,csv,3035180
132999.csv,/pub10/ushcn_snow/R_input/IA,csv,2923382
134063.csv,/pub10/ushcn_snow/R_input/IA,csv,3230026
134142.csv,/pub10/ushcn_snow/R_input/IA,csv,2816208
134735.csv,/pub10/ushcn_snow/R_input/IA,csv,2940435
134894.csv,/pub10/ushcn_snow/R_input/IA,csv,2887901
135769.csv,/pub10/ushcn_snow/R_input/IA,csv,2864772
135796.csv,/pub10/ushcn_snow/R_input/IA,csv,3115602
135952.csv,/pub10/ushcn_snow/R_input/IA,csv,3050962
137147.csv,/pub10/ushcn_snow/R_input/IA,csv,3008841
137161.csv,/pub10/ushcn_snow/R_input/IA,csv,3187350
137979.csv,/pub10/ushcn_snow/R_input/IA,csv,3182880
138296.csv,/pub10/ushcn_snow/R_input/IA,csv,2762397
138688.csv,/pub10/ushcn_snow/R_input/IA,csv,3179448
100010.csv,/pub10/ushcn_snow/R_input/ID,csv,2650752
100448.csv,/pub10/ushcn_snow/R_input/ID,csv,2356875
100470.csv,/pub10/ushcn_snow/R_input/ID,csv,2734423
100803.csv,/pub10/ushcn_snow/R_input/ID,csv,530244
101408.csv,/pub10/ushcn_snow/R_input/ID,csv,2677978
101956.csv,/pub10/ushcn_snow/R_input/ID,csv,2563425
102845.csv,/pub10/ushcn_snow/R_input/ID,csv,1391544
103143.csv,/pub10/ushcn_snow/R_input/ID,csv,1852305
103631.csv,/pub10/ushcn_snow/R_input/ID,csv,2398562
103732.csv,/pub10/ushcn_snow/R_input/ID,csv,2311567
104140.csv,/pub10/ushcn_snow/R_input/ID,csv,2227960
104295.csv,/pub10/ushcn_snow/R_input/ID,csv,2224785
104670.csv,/pub10/ushcn_snow/R_input/ID,csv,2084676
104831.csv,/pub10/ushcn_snow/R_input/ID,csv,2707215
104845.csv,/pub10/ushcn_snow/R_input/ID,csv,1073880
105241.csv,/pub10/ushcn_snow/R_input/ID,csv,1513144
105275.csv,/pub10/ushcn_snow/R_input/ID,csv,2714480
105462.csv,/pub10/ushcn_snow/R_input/ID,csv,2772666
105559.csv,/pub10/ushcn_snow/R_input/ID,csv,1542960
105685.csv,/pub10/ushcn_snow/R_input/ID,csv,1693370
106152.csv,/pub10/ushcn_snow/R_input/ID,csv,3271575
106305.csv,/pub10/ushcn_snow/R_input/ID,csv,931824
106388.csv,/pub10/ushcn_snow/R_input/ID,csv,2748996
106542.csv,/pub10/ushcn_snow/R_input/ID,csv,2737000
106891.csv,/pub10/ushcn_snow/R_input/ID,csv,2601093
107264.csv,/pub10/ushcn_snow/R_input/ID,csv,2595320
107386.csv,/pub10/ushcn_snow/R_input/ID,csv,3198902
108080.csv,/pub10/ushcn_snow/R_input/ID,csv,1228590
108137.csv,/pub10/ushcn_snow/R_input/ID,csv,2916838
110072.csv,/pub10/ushcn_snow/R_input/IL,csv,2753164
110187.csv,/pub10/ushcn_snow/R_input/IL,csv,2977776
110338.csv,/pub10/ushcn_snow/R_input/IL,csv,2826624
111280.csv,/pub10/ushcn_snow/R_input/IL,csv,3005410
111436.csv,/pub10/ushcn_snow/R_input/IL,csv,2942784
112140.csv,/pub10/ushcn_snow/R_input/IL,csv,2684430
112193.csv,/pub10/ushcn_snow/R_input/IL,csv,3023441
112348.csv,/pub10/ushcn_snow/R_input/IL,csv,2951352
112483.csv,/pub10/ushcn_snow/R_input/IL,csv,2974125
113335.csv,/pub10/ushcn_snow/R_input/IL,csv,2807300
113879.csv,/pub10/ushcn_snow/R_input/IL,csv,2807496
114108.csv,/pub10/ushcn_snow/R_input/IL,csv,2874009
114198.csv,/pub10/ushcn_snow/R_input/IL,csv,3046308
